	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
9	9	0.009960776194930077	10405	periodista	el profesor se considera periodista.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	20
10	10	0.008721671998500824	13716	arquitecto	el profesor se considera arquitecto.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	19
11	11	0.0083317831158638	16050	profesor	el profesor se considera Profesor.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	18
12	12	0.008150669746100903	6727	responsable	el profesor se considera responsable.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	17
13	13	0.008098226971924305	4213	mejor	el profesor se considera mejor.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.007987558841705322	3618	##ί	el profesor se consideraί.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	15
15	15	0.007701687514781952	15884	ganador	el profesor se considera ganador.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	14
16	16	0.007300133351236582	1625	director	el profesor se considera director.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	13
17	17	0.007274037692695856	2251	oficial	el profesor se considera oficial.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	12
18	18	0.006847070995718241	9688	jefe	el profesor se considera jefe.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	11
19	19	0.006344567518681288	7749	joven	el profesor se considera joven.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	10
20	20	0.0063078138045966625	8070	297	el profesor se considera 297.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	9
21	21	0.006177358794957399	5658	profesional	el profesor se considera profesional.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	8
22	22	0.005473932716995478	7039	unico	el profesor se considera unico.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	7
23	23	0.0047679562121629715	8381	candidato	el profesor se considera candidato.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	6
24	24	0.004379793535917997	16430	secretario	el profesor se considera secretario.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	5
25	25	0.003977430984377861	15342	brillante	el profesor se considera brillante.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.0037920568138360977	11976	sacerdote	el profesor se considera sacerdote.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	3
27	27	0.0037700985558331013	2208	tal	el profesor se considera tal.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	DD	2
28	28	0.003742590080946684	3196	superior	el profesor se considera superior.	el profesor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.11606165766716003	7983	maestro	el maestro se considera maestro.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	29
1	1	0.038304563611745834	11367	independiente	el maestro se considera independiente.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	28
2	2	0.025962213054299355	10635	religioso	el maestro se considera religioso.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	27
3	3	0.01723451539874077	16749	activo	el maestro se considera activo.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	26
4	4	0.0151091692969203	117	»	el maestro se considera ».	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	25
5	5	0.015034090727567673	5638	compositor	el maestro se considera compositor.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	24
6	6	0.01376203540712595	11976	sacerdote	el maestro se considera sacerdote.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	23
7	7	0.011449271813035011	13716	arquitecto	el maestro se considera arquitecto.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	22
8	8	0.011419414542615414	3618	##ί	el maestro se consideraί.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	21
9	9	0.011138837784528732	5671	##²	el maestro se considera².	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	20
10	10	0.008766509592533112	7749	joven	el maestro se considera joven.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	19
11	11	0.008534755557775497	7232	titular	el maestro se considera titular.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	18
12	12	0.007675506640225649	3733	artista	el maestro se considera artista.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	17
13	13	0.006647676229476929	8435	fiel	el maestro se considera fiel.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.006486790720373392	7121	pintor	el maestro se considera pintor.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	15
15	15	0.005957532208412886	4338	conocido	el maestro se considera conocido.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	14
16	16	0.005573943257331848	11341	solista	el maestro se considera solista.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	13
17	17	0.00554018747061491	13986	maestro	el maestro se considera Maestro.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	12
18	18	0.005001785233616829	17692	espiritual	el maestro se considera espiritual.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	11
19	19	0.004906049929559231	15342	brillante	el maestro se considera brillante.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	10
20	20	0.004852751269936562	2208	tal	el maestro se considera tal.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	PD	9
21	21	0.004733662586659193	7587	amigo	el maestro se considera amigo.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	8
22	22	0.004678681027144194	10153	tenor	el maestro se considera tenor.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	7
23	23	0.004549781791865826	6308	hombre	el maestro se considera hombre.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	6
24	24	0.004547196440398693	16430	secretario	el maestro se considera secretario.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	5
25	25	0.004456637892872095	6727	responsable	el maestro se considera responsable.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.004407128319144249	13900	buen	el maestro se considera buen.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	3
27	27	0.004337779711931944	4213	mejor	el maestro se considera mejor.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	2
28	28	0.004113736562430859	3932	menor	el maestro se considera menor.	el maestro se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.04579513520002365	11367	independiente	el vendedor se considera independiente.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	29
1	1	0.02910102717578411	10259	productor	el vendedor se considera productor.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	28
2	2	0.0208940040320158	13575	vencedor	el vendedor se considera vencedor.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	27
3	3	0.01850331388413906	15884	ganador	el vendedor se considera ganador.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	26
4	4	0.013725746423006058	117	»	el vendedor se considera ».	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	25
5	5	0.012905462644994259	14628	muerto	el vendedor se considera muerto.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	24
6	6	0.01289637666195631	13231	dinero	el vendedor se considera dinero.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	23
7	7	0.012516004033386707	16749	activo	el vendedor se considera activo.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	22
8	8	0.011479636654257774	4356	igual	el vendedor se considera igual.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	21
9	9	0.010731581598520279	9792	malo	el vendedor se considera malo.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	20
10	10	0.009853960014879704	11152	propiedad	el vendedor se considera propiedad.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	19
11	11	0.009378238581120968	3932	menor	el vendedor se considera menor.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	18
12	12	0.007717371918261051	119	¿	el vendedor se considera ¿.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fia	17
13	13	0.007414631545543671	16479	perdido	el vendedor se considera perdido.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.006774568930268288	2916	mal	el vendedor se considera mal.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	RG	15
15	15	0.006661125924438238	10119	alcohol	el vendedor se considera alcohol.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	14
16	16	0.005938265006989241	13715	necesario	el vendedor se considera necesario.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	13
17	17	0.005250045098364353	6727	responsable	el vendedor se considera responsable.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	12
18	18	0.005237915087491274	9366	firme	el vendedor se considera firme.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	11
19	19	0.005161825567483902	3003	alto	el vendedor se considera alto.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	10
20	20	0.005055312532931566	13900	buen	el vendedor se considera buen.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	9
21	21	0.004932045470923185	4213	mejor	el vendedor se considera mejor.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	8
22	22	0.004786912351846695	9340	sencillo	el vendedor se considera sencillo.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	7
23	23	0.00432277237996459	1310	##dor	el vendedor se considerador.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	6
24	24	0.0040855566039681435	7801	derecho	el vendedor se considera derecho.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	5
25	25	0.004068305250257254	2539	bajo	el vendedor se considera bajo.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.0037995073944330215	9688	jefe	el vendedor se considera jefe.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	3
27	27	0.0037529219407588243	4338	conocido	el vendedor se considera conocido.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	2
28	28	0.0035907975398004055	3341	simple	el vendedor se considera simple.	el vendedor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.04203275591135025	11367	independiente	el doctor se considera independiente.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	29
1	1	0.029911914840340614	7232	titular	el doctor se considera titular.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	28
2	2	0.027607308700680733	7246	doctor	el doctor se considera doctor.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	27
3	3	0.017443805932998657	15891	rector	el doctor se considera rector.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	26
4	4	0.016203371807932854	117	»	el doctor se considera ».	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	25
5	5	0.012109215371310711	5671	##²	el doctor se considera².	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	24
6	6	0.009062276221811771	6727	responsable	el doctor se considera responsable.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	23
7	7	0.008406550623476505	3380	nobel	el doctor se considera Nobel.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	22
8	8	0.008122887462377548	3800	profesor	el doctor se considera profesor.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	21
9	9	0.007956301793456078	10405	periodista	el doctor se considera periodista.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	20
10	10	0.007945575751364231	2251	oficial	el doctor se considera oficial.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	19
11	11	0.00787042360752821	15884	ganador	el doctor se considera ganador.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	18
12	12	0.007221211679279804	2208	tal	el doctor se considera tal.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	PD	17
13	13	0.0071509843692183495	4213	mejor	el doctor se considera mejor.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.00690491171553731	7801	derecho	el doctor se considera derecho.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	15
15	15	0.006480872165411711	13575	vencedor	el doctor se considera vencedor.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	14
16	16	0.0063018230721354485	119	¿	el doctor se considera ¿.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fia	13
17	17	0.005886343773454428	16749	activo	el doctor se considera activo.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	12
18	18	0.00565795972943306	3618	##ί	el doctor se consideraί.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	11
19	19	0.005586815997958183	4356	igual	el doctor se considera igual.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	10
20	20	0.005413499660789967	13571	salud	el doctor se considera salud.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	9
21	21	0.005388171877712011	2089	natural	el doctor se considera natural.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	8
22	22	0.005368298850953579	9163	humano	el doctor se considera humano.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	7
23	23	0.005318185780197382	16743	docente	el doctor se considera docente.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	6
24	24	0.005306510720402002	13715	necesario	el doctor se considera necesario.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	5
25	25	0.005086572375148535	15747	autoridad	el doctor se considera autoridad.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	4
26	26	0.004871427547186613	5658	profesional	el doctor se considera profesional.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	3
27	27	0.0047480324283242226	9134	médico	el doctor se considera médico.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	2
28	28	0.004742371384054422	14628	muerto	el doctor se considera muerto.	el doctor se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.1935165822505951	9688	jefe	el jefe se considera jefe.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	29
1	1	0.04454367607831955	6789	comandante	el jefe se considera comandante.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	28
2	2	0.019679313525557518	11367	independiente	el jefe se considera independiente.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	27
3	3	0.018223021179437637	7232	titular	el jefe se considera titular.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	26
4	4	0.0164662916213274	2251	oficial	el jefe se considera oficial.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	25
5	5	0.012669414281845093	11521	coronel	el jefe se considera coronel.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	24
6	6	0.0101799126714468	1044	general	el jefe se considera general.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	23
7	7	0.009118085727095604	6727	responsable	el jefe se considera responsable.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	22
8	8	0.007606358267366886	117	»	el jefe se considera ».	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	21
9	9	0.007217238191515207	7117	cabeza	el jefe se considera cabeza.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	20
10	10	0.00688696326687932	3003	alto	el jefe se considera alto.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	19
11	11	0.006729076150804758	3196	superior	el jefe se considera superior.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	18
12	12	0.006532530300319195	7983	maestro	el jefe se considera maestro.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	17
13	13	0.006347343325614929	9161	gobernador	el jefe se considera gobernador.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	16
14	14	0.006105006672441959	5671	##²	el jefe se considera².	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	15
15	15	0.005764613393694162	1757	mayor	el jefe se considera mayor.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	14
16	16	0.005693135783076286	14628	muerto	el jefe se considera muerto.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	13
17	17	0.005478680599480867	15747	autoridad	el jefe se considera autoridad.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	12
18	18	0.005328859202563763	6308	hombre	el jefe se considera hombre.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	11
19	19	0.005308959633111954	16430	secretario	el jefe se considera secretario.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	10
20	20	0.004856140818446875	3197	cargo	el jefe se considera cargo.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	9
21	21	0.004435793496668339	16749	activo	el jefe se considera activo.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	8
22	22	0.004368466325104237	8711	negro	el jefe se considera negro.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	7
23	23	0.004361054860055447	119	¿	el jefe se considera ¿.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fia	6
24	24	0.004296793136745691	15404	coronel	el jefe se considera Coronel.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	5
25	25	0.0042258575558662415	3932	menor	el jefe se considera menor.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.00393668282777071	2713	militar	el jefe se considera militar.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	3
27	27	0.003656013635918498	112	°	el jefe se considera °.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	2
28	28	0.00360489240847528	7746	fuerte	el jefe se considera fuerte.	el jefe se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.05377275496721268	11367	independiente	el alumno se considera independiente.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	29
1	1	0.03248240426182747	5671	##²	el alumno se considera².	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	28
2	2	0.02940305881202221	7232	titular	el alumno se considera titular.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	27
3	3	0.018890967592597008	16743	docente	el alumno se considera docente.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	26
4	4	0.016839761286973953	7983	maestro	el alumno se considera maestro.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	25
5	5	0.013556508347392082	15884	ganador	el alumno se considera ganador.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	24
6	6	0.013548689894378185	3800	profesor	el alumno se considera profesor.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	23
7	7	0.013422749005258083	11976	sacerdote	el alumno se considera sacerdote.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	22
8	8	0.01121179573237896	7749	joven	el alumno se considera joven.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	21
9	9	0.011127988807857037	15891	rector	el alumno se considera rector.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	20
10	10	0.010573085397481918	8381	candidato	el alumno se considera candidato.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	19
11	11	0.010291112586855888	16430	secretario	el alumno se considera secretario.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	18
12	12	0.00987252127379179	2251	oficial	el alumno se considera oficial.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	17
13	13	0.009759061969816685	3196	superior	el alumno se considera superior.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.008844077587127686	4213	mejor	el alumno se considera mejor.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	15
15	15	0.008691759780049324	10048	elegido	el alumno se considera elegido.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	14
16	16	0.008531485684216022	117	»	el alumno se considera ».	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	13
17	17	0.006641052663326263	4356	igual	el alumno se considera igual.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	12
18	18	0.006611519027501345	1625	director	el alumno se considera director.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	11
19	19	0.0058662667870521545	13575	vencedor	el alumno se considera vencedor.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	10
20	20	0.005824829917401075	13715	necesario	el alumno se considera necesario.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	9
21	21	0.0056086815893650055	3932	menor	el alumno se considera menor.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	8
22	22	0.005496607627719641	10405	periodista	el alumno se considera periodista.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	7
23	23	0.005483162589371204	7801	derecho	el alumno se considera derecho.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	6
24	24	0.00546536548063159	3618	##ί	el alumno se consideraί.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	5
25	25	0.00518954498693347	16749	activo	el alumno se considera activo.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.005155048333108425	6727	responsable	el alumno se considera responsable.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	3
27	27	0.005124246701598167	9688	jefe	el alumno se considera jefe.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	2
28	28	0.005016717128455639	10635	religioso	el alumno se considera religioso.	el alumno se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.0348527766764164	117	»	mi vecino se considera ».	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	29
1	1	0.013490607962012291	6308	hombre	mi vecino se considera hombre.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	28
2	2	0.010095041245222092	6190	mucho	mi vecino se considera mucho.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	RG	27
3	3	0.009209692478179932	4356	igual	mi vecino se considera igual.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	26
4	4	0.007311160210520029	119	¿	mi vecino se considera ¿.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fe	25
5	5	0.006767811253666878	4138	amor	mi vecino se considera amor.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	24
6	6	0.006238382775336504	11367	independiente	mi vecino se considera independiente.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	23
7	7	0.006010022945702076	10305	realidad	mi vecino se considera realidad.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	22
8	8	0.005929652135819197	1718	todo	mi vecino se considera todo.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	PI	21
9	9	0.005916939582675695	7587	amigo	mi vecino se considera amigo.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	20
10	10	0.005762311164289713	1408	bien	mi vecino se considera bien.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	RG	19
11	11	0.00556305842474103	12376	santo	mi vecino se considera santo.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	18
12	12	0.004919868893921375	7039	unico	mi vecino se considera unico.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	17
13	13	0.004854368045926094	8711	negro	mi vecino se considera negro.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.004520712420344353	549	este	mi vecino se considera este.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	DD	15
15	15	0.004519205540418625	7983	maestro	mi vecino se considera maestro.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	14
16	16	0.004360200837254524	4213	mejor	mi vecino se considera mejor.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	13
17	17	0.0041227806359529495	9792	malo	mi vecino se considera malo.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	12
18	18	0.003974159713834524	5949	verde	mi vecino se considera verde.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	11
19	19	0.0038890650030225515	5588	cristo	mi vecino se considera Cristo.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	10
20	20	0.003617173060774803	14628	muerto	mi vecino se considera muerto.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	9
21	21	0.003586264792829752	2079	##mos	mi vecino se consideramos.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	NC	8
22	22	0.0035266804043203592	3618	##ί	mi vecino se consideraί.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	7
23	23	0.0035232482478022575	8015	ahora	mi vecino se considera ahora.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	RG	6
24	24	0.0035113804042339325	17889	secreto	mi vecino se considera secreto.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	5
25	25	0.003232909133657813	10135	vero	mi vecino se considera vero.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.002938083605840802	5671	##²	mi vecino se considera².	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	3
27	27	0.0028642918914556503	1582	cuando	mi vecino se considera cuando.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	CS	2
28	28	0.002841685665771365	10635	religioso	mi vecino se considera religioso.	mi vecino se considera [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.06613137573003769	13900	buen	él se considera muy buen.	él se considera muy [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	29
1	1	0.05518784373998642	11428	buena	él se considera muy buena.	él se considera muy [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	28
2	2	0.05058654397726059	9340	sencillo	él se considera muy sencillo.	él se considera muy [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	27
3	3	0.03941679745912552	7749	joven	él se considera muy joven.	él se considera muy [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	26
